Fecha de la captura,Nombre Blockchain,Token,Nombre,Precio (en US$),Ranking,Clase
14/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
15/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
16/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
17/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
18/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
19/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
20/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
21/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
22/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
23/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
24/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
25/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
26/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
27/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
28/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
29/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
30/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
31/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
01/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
02/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
03/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
04/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
05/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
06/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
07/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
08/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
09/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
16/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
17/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
18/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
19/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
20/04/2024,Solana,SHIT,Shitcoin (SOL),0.0119570717961962,2716.0,3
